ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,RNA_Avg_fold,RNA_Covered_bases,RNA_Covered_percent,Read_GC,Origin,,Origin
2676,44.5678,9628,0.3024,99.8442,9613,1436,1435,0.3054,1.4539,730,0.075820523,0.3465,Candida,,Candida
2767,21.9992,8741,0.3414,99.9657,8738,643,643,0.3462,9.5712,6998,0.800594898,0.3614,Candida,,Candida
2857,37.5925,7820,0.3377,96.1125,7516,981,981,0.3355,11.3556,4378,0.559846547,0.3622,Candida,,Candida
2946,64.1021,7235,0.3989,99.9585,7232,1246,1205,0.3978,2.0828,1152,0.159225985,0.465,Candida,,Candida
2955,39.0649,7691,0.4469,79.1575,6088,1048,1083,0.4473,16.1182,2894,0.376283968,0.4946,Candida,,Candida
3010,18.0744,6826,0.3868,95.942,6549,412,412,0.3922,7.3239,4700,0.688543803,0.3967,Candida,,Candida
3109,39.252,6186,0.304,100,6186,812,812,0.3099,9.9104,3495,0.564985451,0.3032,Candida,,Candida
3122,110.9326,6130,0.3601,100,6130,1776,1757,0.3538,50.7331,5728,0.934420881,0.3564,Candida,,Candida
3139,24.5199,6038,0.3144,100,6038,500,495,0.3199,9.0737,4561,0.755382577,0.3281,Candida,,Candida
3176,28.9433,5824,0.3032,97.6648,5688,562,563,0.3014,9.0793,2909,0.49948489,0.3382,Candida,,Candida
3178,22.0448,5799,0.3273,68.7877,3989,429,429,0.3324,6.0159,1241,0.214002414,0.389,Candida,,Candida
3258,30.9904,5501,0.3547,81.4579,4481,578,577,0.3535,5.0874,1428,0.259589166,0.381,Candida,,Candida
3326,19.9998,4962,0.534,100,4962,335,332,0.5341,9.047,3059,0.616485288,0.545,Candida,,Candida
3329,18.1246,4951,0.279,67.0976,3322,299,301,0.2815,7.1588,2359,0.4764694,0.304,Candida,,Candida
3332,52.8327,21722,0.3258,100,21722,1189,1190,0.3188,0.6442,1421,0.065417549,0.3109,Candida,,Candida
3345,40.1618,4890,0.3027,100,4890,658,653,0.3032,15.944,4000,0.81799591,0.3056,Candida,,Candida
3347,29.0547,4885,0.3282,100,4885,479,474,0.3611,10.6921,3967,0.812077789,0.3677,Candida,,Candida
3354,19.6813,4861,0.3245,99.8971,4856,319,319,0.324,0,0,0,0,Candida,,Candida
3368,22.9127,4798,0.3764,99.9166,4794,363,363,0.3725,9.733,4246,0.884952063,0.3852,Candida,,Candida
3398,50.3648,4611,0.338,68.9655,3180,783,802,0.3337,14.7959,2176,0.471914986,0.3679,Candida,,Candida
3431,20.4619,4497,0.3222,100,4497,309,308,0.3207,5.9197,2703,0.601067378,0.3427,Candida,,Candida
3497,18.9482,4191,0.3553,100,4191,266,271,0.3582,1.6702,615,0.146743021,0.3917,Candida,,Candida
3542,29.4591,3995,0.3209,71.3392,2850,398,393,0.3312,11.9872,1996,0.499624531,0.3416,Candida,,Candida
3562,20.177,3831,0.2576,100,3831,260,257,0.2577,7.3036,2836,0.74027669,0.2408,Candida,,Candida
3569,20.8777,3858,0.3751,96.9155,3739,273,271,0.367,7.2418,2814,0.729393468,0.3728,Candida,,Candida
3690,38.3672,3401,0.3387,99.6766,3390,430,431,0.3363,0.8821,309,0.090855631,0.2467,Candida,,Candida
3695,23.2617,3393,0.3578,97.9369,3323,265,264,0.339,6.4831,2210,0.651340996,0.3557,Candida,,Candida
3704,19.8686,3365,0.3094,99.9703,3364,223,223,0.3073,6.8336,2301,0.683803863,0.2983,Candida,,Candida
3788,20.5996,3127,0.4851,100,3127,215,215,0.4827,2.6223,916,0.292932523,0.502,Candida,,Candida
3843,19.8902,3005,0.4802,100,3005,199,200,0.4783,3.5884,1147,0.381697171,0.4753,Candida,,Candida
3866,20.3521,2942,0.449,100,2942,200,200,0.4456,5.0918,1156,0.39292998,0.453,Candida,,Candida
3892,19.7438,2884,0.5042,100,2884,190,190,0.5003,5.8769,1447,0.501733703,0.5124,Candida,,Candida
4078,21.679,2374,0.3328,100,2374,173,172,0.3311,9.4478,1761,0.741786015,0.3361,Candida,,Candida
4080,18.4854,2367,0.3278,100,2367,145,145,0.3196,1.4787,665,0.280946346,0.3531,Candida,,Candida
4095,33.8606,2338,0.2866,100,2338,264,264,0.2903,0,0,0,0,Candida,,Candida
4110,18.6665,2279,0.2707,100,2279,142,142,0.2758,3.9491,917,0.40236946,0.2502,Candida,,Candida
4162,19.1422,2166,0.4326,100,2166,140,142,0.4287,8.3093,1866,0.861495845,0.4372,Candida,,Candida
4200,20.1392,2083,0.4926,100,2083,140,140,0.4949,1.4042,240,0.115218435,0.5267,Candida,,Candida
4204,22.8429,2075,0.3725,99.6627,2068,162,161,0.387,14.3667,1497,0.721445783,0.4016,Candida,,Candida
4343,19.8196,1813,0.3287,100,1813,120,120,0.3277,7.1125,1282,0.707115279,0.3415,Candida,,Candida
4400,20.7151,1734,0.2393,100,1734,120,120,0.2429,8.605,1471,0.848327566,0.2306,Candida,,Candida
4517,24.0666,1577,0.2498,100,1577,124,136,0.2398,9.9081,1485,0.941661382,0.2485,Candida,,Candida
4560,16.9523,1532,0.3172,99.2167,1520,87,87,0.3258,5.8629,1062,0.693211488,0.3254,Candida,,Candida
4576,40.9644,1517,0.3138,99.8022,1514,206,208,0.3213,0,0,0,0,Candida,,Candida
4604,20.0759,1488,0.5114,100,1488,100,100,0.5154,1.3401,257,0.172715054,0.4668,Candida,,Candida
4668,19.0616,1412,0.4164,100,1412,91,91,0.4067,0,0,0,0,Candida,,Candida
4807,20.4248,1330,0.2286,100,1330,91,91,0.2229,9.4248,1224,0.920300752,0.2203,Candida,,Candida
4820,24.3129,1323,0.3137,99.2441,1313,109,109,0.2811,2.2676,245,0.185185185,0.3947,Candida,,Candida
4858,20.8269,1300,0.3808,100,1300,90,91,0.3815,7.6923,1038,0.798461538,0.3848,Candida,,Candida
4872,166.8336,1208,0.3609,100,1208,737,683,0.3562,0,0,0,0,Candida,,Candida
4912,21.2809,1264,0.4984,100,1264,90,90,0.503,7.5111,974,0.77056962,0.4864,Candida,,Candida
4934,33.1154,1153,0.333,99.9133,1152,131,132,0.3243,0,0,0,0,Candida,,Candida
4955,16.004,1237,0.329,97.7365,1209,66,66,0.3359,0,0,0,0,Candida,,Candida
4996,33.1235,1215,0.263,99.9177,1214,136,137,0.27,5.1835,448,0.36872428,0.3101,Candida,,Candida
5117,3.8537,1155,0.3209,86.0606,994,15,15,0.3173,0,0,0,0,Candida,,Candida
5154,17.9894,1137,0.4925,100,1137,68,69,0.4957,7.7643,847,0.744942832,0.4845,Candida,,Candida
5157,13.1752,1136,0.3231,100,1136,50,50,0.3357,0,0,0,0,Candida,,Candida
5370,17.3205,1011,0.2641,99.9011,1010,59,59,0.2691,0,0,0,0,Candida,,Candida
