ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,Origin,,Origin
3365,108.8049,7606,0.4818,100,7606,2682,2669,0.4823,Other Animalia,,Chilotilapia
4765,152.1392,3534,0.5529,100,3534,1592,1592,0.5623,Other Animalia,,Clupea
2451,100.4556,14043,0.4861,97.3652,13673,4705,4706,0.4865,Other Animalia,,Cottus
3115,90.414,8897,0.4601,100,8897,2230,2233,0.4637,Other Animalia,,Cynoglossus
3648,147.293,6488,0.383,99.9075,6482,3083,3048,0.3838,Other Animalia,,Cynoglossus
5160,98.6918,2891,0.4445,100,2891,953,952,0.4381,Other Animalia,,Cynoglossus
6872,134.3913,1293,0.5824,100,1293,571,619,0.5677,Other Animalia,,Cynoglossus
7133,89.9369,1205,0.556,100,1205,365,372,0.5649,Other Animalia,,Cynoglossus
7398,202.6857,1136,0.441,99.912,1135,803,802,0.4479,Other Animalia,,Cynoglossus
6459,86.9607,1552,0.5715,100,1552,450,450,0.5488,Other Animalia,,Cyprinodon
1349,116.91,42974,0.3931,100,42974,15165,15171,0.3934,Other Animalia,,Cyprinus
1803,127.4322,25401,0.4231,99.8307,25358,9107,9156,0.4252,Other Animalia,,Cyprinus
2017,94.9578,21803,0.4918,97.8535,21335,6328,6308,0.4995,Other Animalia,,Cyprinus
2086,102.4892,19162,0.473,100,19162,6313,6289,0.471,Other Animalia,,Cyprinus
2153,137.8181,18039,0.4215,99.9945,18038,8085,8016,0.441,Other Animalia,,Cyprinus
2246,125.1682,16730,0.4175,99.994,16729,6916,6949,0.4133,Other Animalia,,Cyprinus
2497,100.3733,13556,0.4068,100,13556,4466,4536,0.4122,Other Animalia,,Cyprinus
2580,114.079,12819,0.5286,99.9844,12817,4588,4594,0.5265,Other Animalia,,Cyprinus
2622,133.3166,14176,0.4225,100,14176,6289,6299,0.4414,Other Animalia,,Cyprinus
2718,96.6249,11648,0.5194,100,11648,3679,3683,0.5197,Other Animalia,,Cyprinus
3034,99.1727,9438,0.4301,99.9788,9436,3134,3119,0.4329,Other Animalia,,Cyprinus
3622,112.0464,6595,0.4141,100,6595,2453,2454,0.4143,Other Animalia,,Cyprinus
3811,126.1156,5975,0.4869,100,5975,2528,2519,0.4879,Other Animalia,,Cyprinus
3990,444.6337,5321,0.4313,99.9624,5319,4005,3994,0.4044,Other Animalia,,Cyprinus
4060,83.0583,5193,0.5205,90.4679,4698,1439,1439,0.5169,Other Animalia,,Cyprinus
4500,89.2421,4094,0.543,100,4094,1218,1218,0.5459,Other Animalia,,Cyprinus
5017,121.7763,3057,0.4942,76.2512,2331,1291,1239,0.4925,Other Animalia,,Cyprinus
5075,218.0169,3014,0.4487,100,3014,1643,1589,0.4587,Other Animalia,,Cyprinus
5246,104.4801,2718,0.5508,100,2718,937,899,0.5507,Other Animalia,,Cyprinus
5624,147.1369,2221,0.3745,100,2221,1077,1142,0.3726,Other Animalia,,Cyprinus
5659,102.5584,2185,0.5355,99.9085,2183,739,779,0.5295,Other Animalia,,Cyprinus
6223,267.5603,1692,0.4381,99.9409,1691,1891,1363,0.4758,Other Animalia,,Cyprinus
6664,138.0356,1431,0.3762,100,1431,661,668,0.3791,Other Animalia,,Cyprinus
6716,244.8545,1347,0.4438,100,1347,1273,1265,0.4415,Other Animalia,,Cyprinus
6864,228.0637,1351,0.4856,100,1351,1033,1037,0.5139,Other Animalia,,Cyprinus
7340,135.0487,1171,0.5021,99.573,1166,527,528,0.5341,Other Animalia,,Cyprinus
7480,316.7294,1127,0.456,100,1127,1263,1363,0.4705,Other Animalia,,Cyprinus
7820,245.4812,956,0.4874,100,956,754,747,0.49,Other Animalia,,Cyprinus
1071,144.6505,64191,0.4092,99.9953,64188,22675,22800,0.4136,Other Animalia,,Danio
1311,102.3873,45295,0.4649,100,45295,15234,15218,0.4652,Other Animalia,,Danio
2872,146.2763,10517,0.4133,100,10517,4892,4935,0.4163,Other Animalia,,Danio
3361,112.7068,7633,0.38,100,7633,2830,2802,0.377,Other Animalia,,Danio
4044,80.4993,5261,0.4845,75.651,3980,1367,1396,0.4681,Other Animalia,,Danio
4333,166.9586,4466,0.4425,100,4466,2566,2511,0.4428,Other Animalia,,Danio
4743,56.4802,3538,0.4337,99.9717,3537,596,633,0.4507,Other Animalia,,Danio
5201,98.3557,2845,0.4875,100,2845,916,951,0.4888,Other Animalia,,Danio
5569,114.6574,2230,0.4053,100,2230,866,855,0.4054,Other Animalia,,Danio
5652,107.3148,2192,0.489,100,2192,789,789,0.4782,Other Animalia,,Danio
5853,93.2431,1979,0.4467,100,1979,602,655,0.4527,Other Animalia,,Danio
6207,104.2633,1637,0.5357,100,1637,583,603,0.5455,Other Animalia,,Danio
7475,232.6676,1122,0.4353,100,1122,962,975,0.4328,Other Animalia,,Danio
766,103.003,109874,0.4638,100,109874,36609,36612,0.4645,Other Animalia,,Dicentrarchus
1584,96.3579,31661,0.4884,98.6355,31229,10224,10142,0.4887,Other Animalia,,Dicentrarchus
1836,117.556,24598,0.4891,100,24598,9633,9633,0.49,Other Animalia,,Dicentrarchus
1945,97.9748,21706,0.489,99.9954,21705,7090,7090,0.4886,Other Animalia,,Dicentrarchus
1965,80.7054,21349,0.4982,83.1608,17754,5753,5755,0.4992,Other Animalia,,Dicentrarchus
2004,435.1615,20608,0.3985,100,20608,10551,10719,0.4088,Other Animalia,,Dicentrarchus
2073,173.3806,19295,0.4846,92.8012,17906,11321,11273,0.4908,Other Animalia,,Dicentrarchus
2221,87.2007,17125,0.5306,90.1839,15444,4966,4945,0.5307,Other Animalia,,Dicentrarchus
2359,97.7426,15234,0.5298,100,15234,4964,4964,0.5295,Other Animalia,,Dicentrarchus
2565,99.0496,12955,0.5369,100,12955,4278,4278,0.5372,Other Animalia,,Dicentrarchus
2714,88.4035,11702,0.5446,87.9935,10297,3365,3377,0.5457,Other Animalia,,Dicentrarchus
2775,96.9568,11247,0.5215,93.5449,10521,3667,3632,0.5193,Other Animalia,,Dicentrarchus
2794,101.1202,11071,0.5067,99.9187,11062,3761,3757,0.5073,Other Animalia,,Dicentrarchus
3057,97.1849,9320,0.5512,100,9320,3026,3025,0.55,Other Animalia,,Dicentrarchus
3112,124.4401,8955,0.5227,100,8955,3718,3705,0.5156,Other Animalia,,Dicentrarchus
3140,86.1747,8667,0.5091,98.6731,8552,2461,2450,0.505,Other Animalia,,Dicentrarchus
3187,33.149,8497,0.5084,44.0038,3739,939,939,0.4659,Other Animalia,,Dicentrarchus
3285,114.1395,7937,0.4958,100,7937,2986,3017,0.4937,Other Animalia,,Dicentrarchus
3302,3.3135,7911,0.5435,74.2384,5873,38,48,0.5118,Other Animalia,,Dicentrarchus
3396,95.5972,7472,0.4332,100,7472,2381,2390,0.4334,Other Animalia,,Dicentrarchus
3488,64.1385,7135,0.5305,87.4422,6239,1510,1544,0.5404,Other Animalia,,Dicentrarchus
3500,96.0584,7085,0.5331,100,7085,2269,2269,0.5311,Other Animalia,,Dicentrarchus
3569,30.798,6762,0.4653,18.8997,1278,689,716,0.4519,Other Animalia,,Dicentrarchus
3663,100.5489,6467,0.5537,100,6467,2166,2176,0.5559,Other Animalia,,Dicentrarchus
3715,109.7244,6291,0.5143,100,6291,2296,2315,0.5093,Other Animalia,,Dicentrarchus
4085,165.2968,5091,0.4237,100,5091,2818,2834,0.4229,Other Animalia,,Dicentrarchus
4144,94.7326,4941,0.5375,100,4941,1560,1561,0.5397,Other Animalia,,Dicentrarchus
4189,114.3684,4848,0.4811,100,4848,1849,1849,0.4725,Other Animalia,,Dicentrarchus
4206,133.0104,4794,0.4309,96.8502,4643,2214,2166,0.4159,Other Animalia,,Dicentrarchus
4745,96.0935,3561,0.5981,100,3561,1143,1143,0.6014,Other Animalia,,Dicentrarchus
4835,132.2211,3396,0.4757,89.5171,3040,1518,1492,0.4822,Other Animalia,,Dicentrarchus
5039,88.8063,3077,0.5421,100,3077,911,911,0.5376,Other Animalia,,Dicentrarchus
5117,98.8749,2894,0.5384,100,2894,970,960,0.538,Other Animalia,,Dicentrarchus
5243,91.4486,2775,0.5225,100,2775,846,846,0.518,Other Animalia,,Dicentrarchus
5357,63.1226,2594,0.5306,84.6955,2197,546,546,0.5244,Other Animalia,,Dicentrarchus
5360,89.4025,2596,0.5308,100,2596,780,783,0.5275,Other Animalia,,Dicentrarchus
5396,163.5787,2540,0.4697,100,2540,1383,1396,0.4792,Other Animalia,,Dicentrarchus
5509,90.7853,2357,0.5443,100,2357,714,713,0.5434,Other Animalia,,Dicentrarchus
5986,96.7923,1878,0.5655,100,1878,599,619,0.5699,Other Animalia,,Dicentrarchus
6047,263.9493,1795,0.566,100,1795,1456,1439,0.6058,Other Animalia,,Dicentrarchus
6065,150.656,1808,0.4992,100,1808,954,906,0.5012,Other Animalia,,Dicentrarchus
6321,93.9871,1629,0.5629,100,1629,512,512,0.5627,Other Animalia,,Dicentrarchus
6522,118.9426,1447,0.4018,100,1447,591,588,0.405,Other Animalia,,Dicentrarchus
7188,139.6337,1223,0.4849,100,1223,566,582,0.4834,Other Animalia,,Dicentrarchus
7384,138.6419,1159,0.5933,100,1159,545,529,0.625,Other Animalia,,Dicentrarchus
6044,93.5759,1785,0.3978,99.944,1784,559,564,0.3966,Other Animalia,,Diphyllobothrium
3181,99.384,8518,0.5495,100,8518,2824,2824,0.5491,Other Animalia,,Ectodus
3502,96.8178,7082,0.5429,100,7082,2305,2276,0.5436,Other Animalia,,Eretmodus
6319,72.4163,1631,0.5806,85.653,1397,392,405,0.5644,Other Animalia,,Exocetus
3494,97.3266,7098,0.5669,100,7098,2303,2303,0.5679,Other Animalia,,Fundulus
3511,194.5938,6991,0.3921,100,6991,4604,4515,0.3892,Other Animalia,,Fundulus
6977,106.4552,1305,0.4284,99.7701,1302,461,481,0.4273,Other Animalia,,Fundulus
7614,76.6402,1084,0.5148,100,1084,277,277,0.4976,Other Animalia,,Fundulus
2346,92.7522,15348,0.4704,95.0287,14585,4749,4750,0.4693,Other Animalia,,Gasterosteus
2568,98.6086,12942,0.5079,100,12942,4064,4060,0.5094,Other Animalia,,Gasterosteus
2662,88.9202,12072,0.4869,100,12072,3548,3486,0.4879,Other Animalia,,Gasterosteus
3151,103.5484,8653,0.5166,99.2604,8589,2863,2884,0.5196,Other Animalia,,Gasterosteus
3766,196.4724,6124,0.4892,99.9673,6122,3999,4008,0.4918,Other Animalia,,Gasterosteus
4389,141.1962,4353,0.4581,100,4353,1720,1717,0.4549,Other Animalia,,Gasterosteus
6625,148.6676,1447,0.5588,100,1447,759,719,0.5487,Other Animalia,,Gasterosteus
6915,92.6984,1333,0.4854,100,1333,412,412,0.499,Other Animalia,,Gasterosteus
909,103.9111,84752,0.4364,99.6991,84497,27940,27948,0.436,Other Animalia,,Haplochromis
2089,109.5126,19105,0.4148,99.6127,19031,6873,6867,0.4168,Other Animalia,,Haplochromis
2180,97.9072,17829,0.5328,100,17829,5816,5851,0.5338,Other Animalia,,Haplochromis
2919,96.6532,10188,0.5039,92.8642,9461,3248,3246,0.5113,Other Animalia,,Haplochromis
2978,97.7812,9828,0.4708,100,9828,3134,3175,0.4709,Other Animalia,,Haplochromis
3770,100.2446,6117,0.5385,99.951,6114,2045,2045,0.539,Other Animalia,,Haplochromis
3824,93.4896,5903,0.4118,100,5903,1848,1809,0.4104,Other Animalia,,Haplochromis
3835,84.1744,5890,0.3495,92.7844,5465,1653,1653,0.3417,Other Animalia,,Haplochromis
3937,100.4797,5526,0.4951,98.5523,5446,1838,1838,0.4963,Other Animalia,,Haplochromis
4207,100.9263,4788,0.5155,100,4788,1630,1593,0.5149,Other Animalia,,Haplochromis
4519,86.4183,4040,0.4996,95.9158,3875,1173,1162,0.4946,Other Animalia,,Haplochromis
5041,261.5255,3058,0.4242,100,3058,2577,2557,0.4258,Other Animalia,,Haplochromis
5417,150.521,2505,0.4351,100,2505,1268,1269,0.4357,Other Animalia,,Haplochromis
5456,95.1644,2396,0.5288,100,2396,775,748,0.5267,Other Animalia,,Haplochromis
5525,90.7006,2338,0.5843,100,2338,707,707,0.582,Other Animalia,,Haplochromis
5623,93.878,2221,0.4777,100,2221,690,709,0.476,Other Animalia,,Haplochromis
5740,99.6939,2094,0.521,100,2094,684,684,0.5252,Other Animalia,,Haplochromis
6755,88.3369,1398,0.5272,100,1398,413,413,0.5333,Other Animalia,,Haplochromis
7245,86.4465,1205,0.5154,100,1205,349,350,0.5235,Other Animalia,,Haplochromis
7327,85.7131,1126,0.4387,100,1126,322,322,0.421,Other Animalia,,Haplochromis
7383,232.6395,1154,0.3877,99.8267,1152,960,973,0.3934,Other Animalia,,Haplochromis
1963,118.8885,21346,0.4515,100,21346,6961,6863,0.4528,Other Animalia,,Ictalurus
2828,207.6423,10851,0.4341,100,10851,7133,7126,0.4359,Other Animalia,,Ictalurus
6774,83.9445,1387,0.4283,100,1387,392,384,0.4429,Other Animalia,,Ictalurus
1024,100.1999,68950,0.5004,99.9942,68946,22672,22674,0.5003,Other Animalia,,Larimichthys
1478,95.8665,35971,0.5013,100,35971,11323,11324,0.5019,Other Animalia,,Larimichthys
1645,101.969,30110,0.4184,88.2199,26563,10231,10257,0.424,Other Animalia,,Larimichthys
1874,100.5678,23502,0.4541,100,23502,7878,7878,0.4536,Other Animalia,,Larimichthys
2027,69.0417,20301,0.4986,75.3313,15293,4671,4671,0.4926,Other Animalia,,Larimichthys
2160,93.804,17957,0.4911,95.9626,17232,5558,5546,0.4912,Other Animalia,,Larimichthys
2410,116.2608,14613,0.4726,98.1523,14343,5740,5684,0.4468,Other Animalia,,Larimichthys
2943,143.1106,10120,0.5573,100,10120,4883,4910,0.555,Other Animalia,,Larimichthys
3045,96.1232,9361,0.4737,99.6261,9326,3016,3023,0.4774,Other Animalia,,Larimichthys
3576,97.9482,6738,0.5197,100,6738,2201,2200,0.5174,Other Animalia,,Larimichthys
3884,124.882,5659,0.5004,100,5659,2402,2407,0.5109,Other Animalia,,Larimichthys
3994,79.9064,5330,0.479,100,5330,1407,1414,0.489,Other Animalia,,Larimichthys
4006,148.5114,5278,0.433,100,5278,2780,2595,0.4208,Other Animalia,,Larimichthys
4125,102.9286,4944,0.5455,100,4944,1716,1718,0.5466,Other Animalia,,Larimichthys
4336,179.8915,4479,0.4484,100,4479,2662,2732,0.4681,Other Animalia,,Larimichthys
4413,95.072,4317,0.5411,100,4317,1363,1364,0.5471,Other Animalia,,Larimichthys
4486,102.2886,4088,0.4629,100,4088,1405,1402,0.4618,Other Animalia,,Larimichthys
4516,158.306,4055,0.4179,100,4055,2135,2142,0.411,Other Animalia,,Larimichthys
4662,97.2211,3723,0.5114,100,3723,1203,1217,0.5157,Other Animalia,,Larimichthys
4894,103.6112,3318,0.5717,100,3318,1144,1158,0.5711,Other Animalia,,Larimichthys
5324,95.1194,2646,0.5711,100,2646,846,840,0.5775,Other Animalia,,Larimichthys
5454,99.9306,2451,0.4831,100,2451,802,854,0.4859,Other Animalia,,Larimichthys
5579,94.4703,2190,0.5119,100,2190,694,690,0.5069,Other Animalia,,Larimichthys
5672,88.9733,2171,0.4804,100,2171,644,644,0.4827,Other Animalia,,Larimichthys
5689,127.1238,2124,0.5669,100,2124,1095,1134,0.5399,Other Animalia,,Larimichthys
5904,89.9363,1884,0.5849,100,1884,566,564,0.5798,Other Animalia,,Larimichthys
5998,151.215,1865,0.489,100,1865,963,921,0.4796,Other Animalia,,Larimichthys
6892,145.1392,1221,0.5471,100,1221,608,627,0.5402,Other Animalia,,Larimichthys
7021,90.0342,1286,0.5241,100,1286,386,386,0.5226,Other Animalia,,Larimichthys
7102,93.9432,1251,0.5388,100,1251,385,416,0.5452,Other Animalia,,Larimichthys
7135,118.8351,1213,0.5251,100,1213,567,555,0.5406,Other Animalia,,Larimichthys
7266,85.7575,1196,0.5736,100,1196,330,358,0.5748,Other Animalia,,Larimichthys
7686,91.6587,1002,0.5479,100,1002,297,318,0.5425,Other Animalia,,Larimichthys
7701,109.119,983,0.5605,100,983,439,485,0.5715,Other Animalia,,Larimichthys
7795,90.5899,1012,0.5178,100,1012,297,329,0.5213,Other Animalia,,Larimichthys
7809,68.9415,992,0.4829,100,992,228,228,0.4551,Other Animalia,,Maccullochella
6720,101.4667,1367,0.4989,100,1367,463,475,0.5084,Other Animalia,,Marmota
1472,69.8749,37453,0.5141,74.6589,27962,8682,8674,0.5063,Other Animalia,,Maylandia
1706,98.4952,27906,0.4352,99.9964,27905,9099,9102,0.4336,Other Animalia,,Maylandia
2076,111.8662,19286,0.4887,100,19286,7060,7028,0.4957,Other Animalia,,Maylandia
2584,96.3275,12793,0.5102,99.9765,12790,4091,4089,0.5091,Other Animalia,,Maylandia
4077,423.9909,5820,0.4358,99.9828,5819,6314,6613,0.4439,Other Animalia,,Maylandia
4659,124.853,3729,0.5546,100,3729,1420,1460,0.5571,Other Animalia,,Maylandia
6222,99.1933,1692,0.565,100,1692,553,571,0.5653,Other Animalia,,Maylandia
6679,148.2092,1372,0.5539,100,1372,742,718,0.5709,Other Animalia,,Maylandia
3935,96.4481,5570,0.5668,100,5570,1791,1791,0.5667,Other Animalia,,Melanochromis
7773,77.4669,1026,0.5575,100,1026,265,265,0.5619,Other Animalia,,Monodelphis
4319,120.4704,4515,0.5406,99.9779,4514,1805,1821,0.5459,Other Animalia,,Monopterus
3163,98.1638,8606,0.5358,100,8606,2820,2818,0.5384,Other Animalia,,Mycteroperca
1031,98.0882,69247,0.4476,94.6568,65547,22651,22652,0.4475,Other Animalia,,Neolamprologus
1647,108.5284,29998,0.505,100,29998,10841,10841,0.5079,Other Animalia,,Neolamprologus
4693,97.9429,3605,0.4949,100,3605,1180,1177,0.4958,Other Animalia,,Neolamprologus
5321,100.3502,2610,0.5398,100,2610,868,881,0.5313,Other Animalia,,Neolamprologus
6525,118.1531,1489,0.585,100,1489,592,600,0.5944,Other Animalia,,Neolamprologus
4579,60.0303,3826,0.4841,74.1244,2836,767,770,0.487,Other Animalia,,Nibea
657,102.8204,132564,0.4909,99.7322,132209,41646,41643,0.4899,Other Animalia,,Nimbochromis
1137,99.4104,58833,0.4896,99.9643,58812,19360,19351,0.4891,No BLAST hit,,No BLAST hit
1297,108.9196,46415,0.479,99.7285,46289,15426,15370,0.4815,No BLAST hit,,No BLAST hit
1344,111.4854,42692,0.4851,100,42692,15891,15869,0.4867,No BLAST hit,,No BLAST hit
1618,93.7755,30666,0.5331,96.9575,29733,9588,9588,0.5329,No BLAST hit,,No BLAST hit
1638,98.8059,30277,0.4203,99.9339,30257,9983,9979,0.4214,No BLAST hit,,No BLAST hit
1652,103.0542,29826,0.5054,100,29826,9981,9960,0.5055,No BLAST hit,,No BLAST hit
1795,99.3002,25680,0.5078,100,25680,8355,8317,0.5065,No BLAST hit,,No BLAST hit
2018,97.1815,20497,0.5227,99.6048,20416,6633,6633,0.5227,No BLAST hit,,No BLAST hit
2035,106.4724,20202,0.5085,100,20202,7147,7158,0.5086,No BLAST hit,,No BLAST hit
2151,107.0509,18186,0.4939,99.5161,18098,6495,6496,0.4909,No BLAST hit,,No BLAST hit
2154,109.8083,18162,0.4877,100,18162,6114,6058,0.4891,No BLAST hit,,No BLAST hit
2166,97.699,18001,0.5354,100,18001,5864,5863,0.5347,No BLAST hit,,No BLAST hit
2170,90.5013,17883,0.5096,100,17883,5061,5033,0.5117,No BLAST hit,,No BLAST hit
2173,77.2855,17904,0.4785,84.9754,15214,4608,4624,0.474,No BLAST hit,,No BLAST hit
2190,106.6022,17624,0.4932,97.7871,17234,6205,6217,0.4968,No BLAST hit,,No BLAST hit
2241,85.357,16846,0.5205,89.0894,15008,4794,4794,0.5203,No BLAST hit,,No BLAST hit
2265,61.6096,16568,0.4651,99.2636,16446,3194,3195,0.4601,No BLAST hit,,No BLAST hit
2299,104.5595,16024,0.3861,100,16024,5546,5513,0.386,No BLAST hit,,No BLAST hit
2307,88.0379,15826,0.5328,88.8791,14066,4597,4601,0.5305,No BLAST hit,,No BLAST hit
2327,99.7172,15573,0.491,99.39,15478,5193,5180,0.4864,No BLAST hit,,No BLAST hit
2433,90.9378,14324,0.5261,95.1061,13623,4393,4364,0.5267,No BLAST hit,,No BLAST hit
2466,99.063,13928,0.4337,100,13928,4600,4600,0.4347,No BLAST hit,,No BLAST hit
2481,84.9129,13704,0.5131,80.6699,11055,3864,3902,0.5178,No BLAST hit,,No BLAST hit
2501,98.638,13561,0.5385,100,13561,4465,4464,0.5404,No BLAST hit,,No BLAST hit
2525,93.1085,13331,0.487,99.955,13325,4047,4081,0.4889,No BLAST hit,,No BLAST hit
2548,132.7232,13152,0.5132,100,13152,5890,5877,0.4819,No BLAST hit,,No BLAST hit
2551,98.0437,13136,0.481,100,13136,4294,4295,0.4814,No BLAST hit,,No BLAST hit
2570,80.6352,12900,0.4791,85.1163,10980,3468,3468,0.4786,No BLAST hit,,No BLAST hit
2590,93.2258,12771,0.4994,94.1273,12021,3932,3951,0.4999,No BLAST hit,,No BLAST hit
2631,207.9557,12314,0.4533,94.1205,11590,8544,8457,0.4569,No BLAST hit,,No BLAST hit
2634,121.1399,12341,0.5236,100,12341,5015,4964,0.525,No BLAST hit,,No BLAST hit
2644,95.7637,12240,0.5381,100,12240,3908,3908,0.5369,No BLAST hit,,No BLAST hit
2648,86.7612,12124,0.4922,87.3474,10590,3524,3555,0.4922,No BLAST hit,,No BLAST hit
2673,98.9473,11891,0.5458,98.6124,11726,3947,3911,0.558,No BLAST hit,,No BLAST hit
2695,102.8668,11895,0.5138,96.6036,11491,4032,4073,0.5077,No BLAST hit,,No BLAST hit
2706,86.1232,11749,0.5251,100,11749,3087,3105,0.5268,No BLAST hit,,No BLAST hit
2722,100.7389,11573,0.484,100,11573,3250,3248,0.4888,No BLAST hit,,No BLAST hit
2725,104.339,11592,0.4759,95.6263,11085,4016,4020,0.4794,No BLAST hit,,No BLAST hit
2757,87.2161,11369,0.4991,91.5208,10405,3306,3306,0.5046,No BLAST hit,,No BLAST hit
2781,92.4763,11152,0.3835,95.6958,10672,3450,3436,0.3868,No BLAST hit,,No BLAST hit
2784,106.9136,11107,0.4933,100,11107,4027,3994,0.4956,No BLAST hit,,No BLAST hit
2809,96.2398,10981,0.5365,100,10981,3533,3520,0.5366,No BLAST hit,,No BLAST hit
2813,98.0929,10952,0.5059,100,10952,3581,3582,0.501,No BLAST hit,,No BLAST hit
2816,121.1293,10899,0.4581,100,10899,4303,4289,0.4554,No BLAST hit,,No BLAST hit
2821,98.0628,10855,0.5277,100,10855,3548,3549,0.5257,No BLAST hit,,No BLAST hit
2831,88.2057,10786,0.5447,94.8081,10226,3172,3173,0.544,No BLAST hit,,No BLAST hit
2847,93.5253,10656,0.508,97.6539,10406,3212,3212,0.5088,No BLAST hit,,No BLAST hit
2853,129.8587,10553,0.5044,100,10553,3949,3957,0.5153,No BLAST hit,,No BLAST hit
2892,112.3141,10402,0.4823,100,10402,3891,3859,0.4911,No BLAST hit,,No BLAST hit
2929,128.7197,10047,0.5126,100,10047,4062,4066,0.513,No BLAST hit,,No BLAST hit
2932,107.2577,10073,0.5458,85.486,8611,3647,3682,0.552,No BLAST hit,,No BLAST hit
2935,109.8986,10068,0.5472,100,10068,3712,3680,0.5425,No BLAST hit,,No BLAST hit
2940,130.3604,10508,0.4737,100,10508,3826,3826,0.4944,No BLAST hit,,No BLAST hit
2951,88.8003,9979,0.509,79.988,7982,2960,2960,0.5042,No BLAST hit,,No BLAST hit
2967,111.3556,9856,0.4804,100,9856,3283,3285,0.4642,No BLAST hit,,No BLAST hit
2971,103.3537,9895,0.5268,100,9895,3396,3445,0.5259,No BLAST hit,,No BLAST hit
2989,112.3934,9753,0.5235,100,9753,3422,3483,0.5237,No BLAST hit,,No BLAST hit
3025,104.2124,9474,0.5241,100,9474,3357,3323,0.5241,No BLAST hit,,No BLAST hit
3047,108.3215,9345,0.5234,100,9345,3017,3022,0.525,No BLAST hit,,No BLAST hit
3050,97.7297,9346,0.5476,100,9346,3045,3045,0.548,No BLAST hit,,No BLAST hit
3051,100.0427,9344,0.494,100,9344,3132,3104,0.4937,No BLAST hit,,No BLAST hit
3071,114.3276,9228,0.4683,100,9228,3052,3051,0.463,No BLAST hit,,No BLAST hit
3081,103.5367,9169,0.5284,99.9891,9168,3157,3188,0.527,No BLAST hit,,No BLAST hit
3086,92.3519,9126,0.5122,100,9126,2764,2754,0.5163,No BLAST hit,,No BLAST hit
3087,36.9034,9127,0.4756,66.0568,6029,1119,1113,0.4952,No BLAST hit,,No BLAST hit
3093,69.3498,9084,0.4467,83.3223,7569,2134,2151,0.4525,No BLAST hit,,No BLAST hit
3116,111.6034,8916,0.5251,100,8916,3319,3319,0.5284,No BLAST hit,,No BLAST hit
3118,96.7557,8900,0.5174,100,8900,2813,2834,0.5157,No BLAST hit,,No BLAST hit
3128,109.5022,8756,0.5355,93.5587,8192,3187,3202,0.5348,No BLAST hit,,No BLAST hit
3145,111.2223,8715,0.5173,100,8715,3240,3227,0.5176,No BLAST hit,,No BLAST hit
